,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
PI656098,-1.5652875,-1.340288316,-2.030199929,-2.652870351,-1.030012956,-1.450239294,-2.206076459,-3.319977247,-1.743466573,-0.952399801,-2.189459839,-2.72558252,-1.665561802,-2.673496838,-1.360499831,-2.657521902,-0.975900525,-2.207567602
PI597976,-0.677389561,-0.514189544,-0.691407401,-0.778305573,-0.121360704,-0.549297593,-0.656084637,-0.423749365,-0.43901902,0.038544762,-0.490844437,-0.334420314,-0.048401287,-1.02104333,0.476511528,0.251027673,0.11001869,-0.434631523
PI656081,-0.251905739,0.24314378,1.265716811,0.500726642,0.042742285,0.660123171,0.680289482,1.180008208,0.485369309,0.31188784,0.872555215,1.407072278,0.231354449,0.350960692,1.079114218,1.058590508,-0.323069668,1.705313885
PI576437,-0.842280551,0.703000294,0.34188345,1.539446897,0.51734546,1.042945803,0.969344238,1.398703061,1.319592098,1.236819657,1.006450833,1.53154805,0.883326616,0.823031794,1.011208796,1.096904682,0.584699093,1.942204044
PI655970,-1.071385096,0.600500285,2.80451482,0.080735098,1.123757332,0.921338671,-0.453036947,1.402555892,0.708682851,0.705481087,0.913891995,0.483065624,0.904767524,0.853988306,2.010241783,1.444491363,1.905002715,2.192558971
PI656101,-1.074941628,0.654889353,2.091201096,-0.358969891,0.478081196,0.808929103,0.158414022,1.369982396,0.360748342,0.522837889,0.831147333,0.804405301,0.981843636,-0.409530175,1.543261145,0.892052864,1.473136463,2.61971898
PI656017,-0.651617843,1.084214045,0.120611577,0.290025514,0.28128697,0.7493088,0.658066345,1.397080331,0.350172734,0.944488054,0.992313274,1.139634737,0.591736075,0.27763091,1.142750929,0.67703887,0.662926126,2.103173387
PI534139,-0.843407175,0.941057153,1.678552843,-0.721004457,1.357329108,1.068072753,0.432109853,1.631575297,1.036950681,1.482320944,1.051204221,1.023149699,1.01702593,-0.001487291,1.842295984,1.097693942,1.682739594,2.931557771
PI533927,-0.8172051,-1.338130783,0.903907477,1.277682329,-0.953104218,0.073082497,0.738972984,0.567692611,-0.200361426,-0.047106791,0.603925061,1.419344444,0.272628666,0.83930777,0.290219366,-0.035511017,-0.045525557,-0.802339505
PI534124,-0.518315377,1.006255891,2.454481926,0.014439219,0.900330507,0.921338671,0.410756728,0.899405948,1.016983625,0.998274447,0.608016326,0.167551763,1.002244845,1.623628276,1.516047052,0.941166151,1.51614475,2.836595397
PI655983,-1.427291106,0.791293337,0.795259084,0.384440397,0.357548449,0.772918666,0.860777858,0.550596715,0.429331567,0.394259726,0.790773937,1.509880461,0.158528998,0.861255673,0.800687921,0.524670255,0.682242852,0.889197401
PI542406,-0.759057501,1.350516577,-1.321647787,1.841688728,1.479630553,1.418275182,0.417925218,1.767227772,0.787921648,1.513630943,1.104871893,0.892616359,1.277913496,0.64859555,1.292863347,0.863648253,1.442602302,2.507838364
PI17548,-0.803682007,1.494821192,2.81925041,2.025796197,0.072754928,1.215465449,1.397861215,0.934093675,0.402593054,0.948522554,1.256782528,1.598339084,0.822028292,1.17226421,0.990683225,1.051394444,0.243442483,2.290869818
PI35038,-2.092335048,-0.062855556,-1.000968957,-1.872112371,0.166693573,-0.658870605,-0.987008409,-0.019412448,-0.445682667,0.403196216,-0.725438328,-1.412157791,0.727295704,0.172354237,1.357241932,0.476459854,0.379783237,2.097580858
PI655999,-0.344766395,0.949162307,2.86248695,1.934588108,1.320979331,1.343898212,1.212855093,2.161812476,1.081962719,1.811845654,1.709325569,1.902507738,1.137068005,1.135483922,1.719633462,1.753266354,1.558499457,2.030977629
PI656014,-0.496155165,0.493079555,2.212750538,0.917636903,0.611234138,0.625964253,0.077161486,0.827096134,0.200311485,0.654943748,0.764296338,0.931752768,0.39783323,-0.007627328,0.278580264,0.514317849,1.064477002,-0.502857845
PI642992,-0.7468519,0.953018891,3.094027015,1.068601239,1.794562617,0.633656598,0.410756728,1.578611744,0.342301759,1.574225839,0.528727595,-0.025449082,0.735353952,-0.457690344,0.927087767,1.079473289,1.729978846,2.411634825
PI659753,-2.199656863,-0.931322326,-1.418650143,-2.492111024,-0.293869355,-0.28647291,-1.083810459,-1.32933784,-0.912879749,-0.060539571,-1.397475693,-1.791193129,-0.552542952,-0.651092116,-0.857336403,-0.439375534,0.18161972,-1.236624962
PI655995,-0.858019307,-0.523643866,2.252224207,0.424573329,-0.516333742,0.289492016,-0.351329471,1.200819958,0.672127967,0.638053651,0.755064268,1.157542353,1.089117139,1.024522352,1.175193647,1.499685895,1.082981224,2.20614425
PI576434,-0.291190093,0.638535823,0.547765628,-0.386781899,0.796123272,0.886247351,0.312564702,1.355799166,0.766670659,0.809923456,0.985422421,1.160161352,0.534240955,0.544330384,0.763303084,0.83596525,1.3190487,1.308198026
PI561472,0.134686668,0.527256739,1.369189282,1.689594772,1.05675111,0.660123171,0.272073341,1.64468596,0.620240545,0.6239187,1.243962443,1.527169585,0.842917052,1.174124864,1.639765799,1.13947017,0.995032807,1.759806656
PI656036,0.258561567,0.683746777,-0.836301122,-0.286479212,0.289725176,0.689537057,0.594276608,1.463631821,0.08578468,1.453157239,0.917271279,0.782271312,0.88404449,-0.003316202,1.334857255,0.76827918,1.378019197,1.833744037
PI34911,0.053975478,-0.762735809,-0.579401624,-0.833095937,-0.072651554,0.278622344,-0.219565832,0.121728882,0.235034082,0.84122991,0.228810248,-0.201205795,1.100876039,0.892710026,1.629002872,1.270977211,0.135978039,2.369732345
PI656013,-0.793260591,0.624433548,0.003922102,1.367851557,0.185752361,0.812139379,0.669239646,1.48442192,0.396417163,1.288386465,0.920982911,1.295667685,0.693537685,0.645007397,1.634326879,1.34824299,0.706641294,2.003520111
PI24969,-3.415930325,0.07651433,0.304522418,1.846387165,0.533202886,0.528721705,0.744140954,1.683574122,0.892966411,0.394804626,1.082371452,1.735932707,0.320855149,0.498738215,1.157304711,0.885455425,0.809670694,1.191284387
PI601816,-1.003091421,0.930048754,2.998231291,1.407532878,0.687381135,1.087729405,0.40353648,1.539051546,0.313710249,0.859660467,0.816865619,0.659370818,1.022311609,-0.637915443,1.568566455,1.341640645,0.77820694,2.152268826
PI655973,-0.894809847,0.481492981,-1.193746046,1.743715145,0.154188868,0.949669177,0.989711541,1.426889737,0.779093265,1.164455874,1.049185433,1.334131354,0.745670061,0.601148214,1.012505782,1.259248065,0.625576611,2.245862365
PI655980,-3.031885779,-2.412460136,-1.054724754,-2.624177036,-1.187026928,-1.530645974,-1.195916592,-3.432791857,-1.493465593,-1.241369322,-1.75231968,-1.125620388,-3.429522831,-2.913186312,-1.18626789,-0.520078552,-1.734072766,-1.128982322
PI656035,-2.054647668,0.150122711,0.205149588,0.252007465,0.063535081,0.574467727,0.828140929,1.040262853,0.799909704,0.459114031,0.622888092,1.371692422,0.405570957,0.81885117,0.079379277,0.825148212,0.450206496,0.978341718
PI653617,-0.800015185,0.683311501,0.640803216,0.836050166,0.72678877,0.963539025,1.235184569,1.558013705,0.911269567,0.750100155,0.989415096,1.673281987,1.006426612,1.57201441,0.364365894,0.588477656,0.500562704,2.120516832
PI656050,-1.219085447,0.469315378,-0.861214791,-0.405819535,1.228458996,0.099574112,-0.20299207,0.806421794,0.335164416,0.521643124,0.259346584,0.036930925,0.541041213,-0.678909458,1.324935473,1.293547817,1.125300683,1.683616334
PI641824,-0.149396507,0.275659735,1.903615245,-0.428529347,0.623942782,0.39214617,-0.219696167,0.734883599,0.332725888,1.182604701,0.27394321,-0.546434188,0.67483424,0.132458163,1.284012599,0.846672367,1.172869598,1.83715041
PI656032,-1.591167747,0.065909219,3.268569127,3.338553732,-0.13514142,0.732096671,0.76958762,1.710747694,0.92615759,0.696538483,0.89032999,1.225788977,0.866605146,0.901561939,1.716248408,1.501171868,0.630424298,2.419464731
PI533998,-0.895623898,1.014411272,2.968742896,1.914510124,0.822809976,1.146778434,1.096683661,2.012978597,1.175735596,1.303802011,1.355034098,1.663245957,1.151321956,0.672091779,1.025864782,1.245430237,1.352883168,2.743857598
PI276837,-0.837622188,1.129781013,0.123796722,1.933863567,1.344081911,1.109390902,1.078401616,1.853253494,1.304701571,0.48674147,1.350947733,2.039982876,0.899370152,0.759753441,1.565320387,1.353591509,1.273723124,2.235195359
PI656039,-0.620604301,1.487288103,2.061694045,2.39085872,1.111139316,1.13059311,1.387079439,1.795340895,1.079713425,0.915524711,1.291587749,1.841328269,0.836351552,0.868467669,1.46529479,1.455137207,1.181823733,1.989305942
PI656054,-0.847193087,0.558925972,2.191696043,-0.007728513,0.59973369,0.7493088,0.312564702,0.826187083,-0.189325264,0.975974558,-0.717003543,-0.592292385,0.612639362,0.455048956,0.527052444,-0.119224835,0.274605585,2.141657161
PI653616,-0.901168125,-0.005939331,-0.06822476,0.507234172,0.228269707,0.435112206,-0.191354732,0.986912323,-0.29132333,0.346517259,0.254410656,0.217003451,0.197417287,-1.230318939,1.079652194,1.145124175,0.621943037,1.056281198
PI598069,-0.918688163,0.476363205,1.46981476,0.441612475,-0.769433905,0.256521997,0.60618151,-0.369958539,0.140948308,0.004905108,0.144579176,0.785166669,0.50615789,0.660345357,0.262013737,0.44217184,-0.6353592,1.383581238
PI656047,-0.28560595,1.367399809,1.931997752,1.832037729,0.350719268,1.407730269,1.331354717,2.018954923,1.206984678,1.537933939,1.457211173,1.733892344,1.104209028,0.600794172,1.684126708,1.734563823,0.49933741,2.350054244
PI656028,-0.116810786,1.410679047,0.596186354,1.035457946,1.138706514,1.11650837,0.944342936,1.590067175,0.639519052,1.173389516,0.915029011,1.220195197,0.933323091,0.463109328,1.506723735,0.442416428,1.419962642,2.357482095
PI656066,-0.059101777,0.89226901,0.746967943,0.943186593,1.025429151,-0.248732582,1.193310497,1.954082357,1.013963062,1.096026533,1.380629699,2.148876965,1.061716625,1.11618528,1.60794189,1.665047161,1.174181788,1.870929736
PI641836,-2.362763922,-0.160750504,-0.188397909,0.699641441,-1.064875355,-1.560702262,0.00440594,-0.207346558,-0.005056934,-0.361037339,-0.280065589,0.438429814,-0.320967707,-0.253363219,0.019580408,-0.074654318,-0.960945113,-0.574539515
PI642998,-0.000925498,0.141574666,0.188612423,0.020018725,0.803087476,0.795983938,-0.353520704,1.528087753,0.54279298,0.899200081,0.687565619,0.750662475,1.051197764,0.549807166,0.67298739,1.254687162,0.689724894,2.428566956
PI566819,-1.053482208,0.885456793,1.53289545,2.882417523,0.362579377,1.03014153,1.698859063,1.933981186,1.202112835,0.613974524,1.463547854,2.701666788,0.236777988,1.694519536,0.604298656,0.984884806,0.578966965,2.063798044
PI655981,-0.422339634,0.48112345,0.127569248,0.019939579,0.711647075,0.566304416,0.336095199,1.309827909,0.607919774,0.198604397,1.130879865,1.624417016,0.41069973,0.272100899,0.990645699,0.453564106,0.929108246,1.867402664
PI609456,-1.250680351,0.354157234,1.178744297,0.917582359,-0.524527735,0.162886392,1.247723918,1.220269995,0.769420053,0.17347801,0.861591621,1.985423892,-0.027347259,1.136451359,0.350822445,0.882584739,0.184570801,0.860965664
PI656038,0.025675808,0.394769048,1.516345546,1.299715566,1.019272039,1.334437404,-0.308244098,1.423609037,1.132029021,1.446027338,1.220065593,1.499488111,0.949360738,1.577677299,1.695236521,0.397358241,1.01438886,2.399530642
PI576130,-0.840251543,-0.026680336,-0.436143448,-2.122187669,-0.307500254,-0.749783908,-0.185089972,-0.571399012,-0.296756315,0.434044995,-0.538923331,-0.65767873,0.19392825,-0.299537504,-0.048126234,0.287495928,0.152579095,1.722291515
PI656067,-0.00990577,1.104187941,0.460375162,1.455037367,-0.488771753,0.756111547,0.905628424,1.471436664,0.770830454,0.442142777,1.100696608,1.568661282,0.721267998,0.697549601,1.162559923,0.869954595,0.716891242,2.097999054
PI651492,-0.727570755,0.322346596,1.650024813,-1.127700918,0.254542671,-0.522556129,-0.455735954,0.124600819,-0.299140573,0.682588933,-0.597663719,-1.050809224,0.473360272,-0.185340327,0.680400365,0.36114586,0.872321428,2.385807154
PI656074,0.001770217,0.52062023,1.721354549,0.292021637,0.62288537,0.645085294,0.617946352,1.307325788,0.820881319,0.681332152,0.931254318,1.595660656,0.810510823,1.123755004,0.848952122,0.712293368,0.616540685,1.576235797
PI656064,-0.138390031,1.05485037,3.19844111,1.742250597,1.007472492,0.883266723,-0.029867706,1.598626637,0.562192133,0.51429107,0.610013767,0.979393767,1.060356296,-0.061899064,1.21197613,0.25070449,1.201244907,2.111001309
PI651496,-1.114135131,0.177182033,-0.120355205,-0.959153437,0.240976532,0.367453557,0.14911163,0.572221903,-0.123174716,0.281655626,-0.182444596,-0.331074269,0.292086207,0.246420853,0.730891363,0.179502536,-0.227760925,1.782868716
